Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-03-19,Citizen Toxie: The Toxic Avenger IV,2000,https://boxd.it/dzXPut,3,,,2026-03-18
2026-03-24,The Toxic Avenger,2023,https://boxd.it/dEv46X,3.5,,,2026-03-23
2026-03-25,The 7th Voyage of Sinbad,1958,https://boxd.it/dFsg4x,3.5,,,2026-03-24
2026-03-27,No Other Choice,2025,https://boxd.it/dH0oDx,4.5,,,2026-03-26
2026-03-28,I Swear,2025,https://boxd.it/dHJey3,4,,,2026-03-27
2026-03-28,Tornado,2025,https://boxd.it/dHY0cR,3.5,,,2026-03-27
2026-03-31,Great Expectations,1946,https://boxd.it/dKKDgd,4,,,2026-03-29
2026-03-31,Godzilla Raids Again,1955,https://boxd.it/dKKFZJ,3,,,2026-03-29
2026-04-04,Die My Love,2025,https://boxd.it/dOBdoN,2.5,,,2026-04-03
2026-04-06,Mystery Train,1989,https://boxd.it/dQHtxV,4,,,2026-04-05
2026-04-08,Eraserhead,1977,https://boxd.it/dSD8Cb,4,,,2026-04-07
2026-04-14,Nightbreed,1990,https://boxd.it/dXNbJp,2,,,2026-04-13
2026-04-20,13 Assassins,2010,https://boxd.it/e2pQZb,4,,,2026-04-19
2026-04-27,Say Anything...,1989,https://boxd.it/e7ZBSB,3.5,,,2026-04-26
2026-04-29,Jason and the Argonauts,1963,https://boxd.it/e9LoWZ,4,,,2026-04-28
2026-05-03,Frida,2002,https://boxd.it/ecUTlF,2,,,2026-05-02
2026-05-04,Marcello Hernández: American Boy,2026,https://boxd.it/edEUhh,3.5,,,2026-05-02
2026-05-04,King Kong vs. Godzilla,1963,https://boxd.it/edEyD1,2.5,,,2026-05-03
2026-05-05,Don't Tell Mom the Babysitter's Dead,1991,https://boxd.it/eeRm0h,2.5,,,2026-05-04
2026-05-11,The Drama,2026,https://boxd.it/ejoodz,4.5,,,2026-05-10
2026-05-13,Clash of the Titans,1981,https://boxd.it/el0ZA1,3,,,2026-05-12
2026-05-18,Project Hail Mary,2026,https://boxd.it/eoURHH,4,,,2026-05-17
2026-05-26,Decision to Leave,2022,https://boxd.it/evkZnr,5,,,2026-05-24
2026-05-27,Star Wars: The Mandalorian and Grogu,2026,https://boxd.it/ewUJvZ,3,,,2026-05-26
2026-05-29,Oliver Twist,1948,https://boxd.it/ey2IbJ,4,,,2026-05-28
2026-05-30,Sound of Metal,2019,https://boxd.it/eyWwGR,4,,,2026-05-29
